article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-53e36471c16af08e,Technology,positive,positive,Technology,earnings risk,Levi Strauss beat quarterly expectations on the top and bottom lines during its fiscal 2026 second quarter.,0.942,0.942,0.034,0.024
rss-b59266e2b10c3b24,Financials,negative,negative,Financials,,"Micron stock has dropped from levels of more than $1,200 and BofA analysts say there's a chance to buy at a discount.",0.543,0.076,0.381,0.543
rss-b3cc177a3f542be0,Energy,positive,positive,Energy,,"Energy stocks were higher late Thursday afternoon, with the NYSE Energy Sector Index rising 0.9% and Energy stocks were higher late Thursday afternoon, with the NYSE Energy Sector Index rising 0.9% and",0.947,0.947,0.027,0.025
rss-e951899c8f4e3008,Real Estate,negative,negative,Real Estate,,"VNQ and US REITs haven't posted a July loss since 2008, extending a rare seasonal streak despite persistent rate headwinds.",0.778,0.201,0.02,0.778
rss-690159e345ad1f21,Materials,neutral,neutral,Materials,,"Get paid a real income now on your Freeport-McMoRan shares, an income you keep no matter what, in exchange for capping your gains above a higher price.",0.829,0.158,0.829,0.013
rss-7bcc3c4eed6f56f2,Energy,negative,negative,Energy,commodity risk,"A number of stocks fell in the afternoon session after crude oil dropped to its lowest level since the start of the Iran war, as tankers resumed transit through the Strait of Hormuz and the U.S.",0.527,0.427,0.046,0.527
rss-94c46328ccacb8d7,Materials,positive,positive,Materials,valuation risk,"ATI's 72% YTD rally is fueled by aerospace, defense and specialty energy demand, capacity investments, earnings beats and a stronger growth outlook.",0.949,0.949,0.034,0.018
rss-89eaa08f618e987c,Healthcare,positive,positive,Healthcare,,"Food and Drug Administration (FDA) approved KEYTRUDA® (pembrolizumab) and KEYTRUDA QLEX™ (pembrolizumab and berahyaluronidase alfa-pmph), Merck’s anti-PD-1 therapies, each in combination with Padcev® (enfortumab vedotin-ejfv), as neoadjuvant treatment and then continued after cystectomy as adjuvant treatment for the treatment of adult patients with muscle-invasive bladde",0.674,0.674,0.315,0.011
rss-33a04d83cb003c5b,Financials,positive,positive,Financials,,EDX Markets Raises $76 Million Series C To Scale Institutional Digital Asset Infrastructure Pulse 2.0 EDX Markets Raises $76 Million Series C To Scale Institutional Digital Asset Infrastructure Pulse 2.0,0.769,0.769,0.214,0.017
rss-16cb1c34187c9a26,Industrials,negative,negative,Industrials,earnings risk,Lockheed runs a pure defense execution engine with messy program charges but reaffirmed guidance.,0.42,0.175,0.405,0.42
rss-7706ab580fcc6769,Financials,neutral,neutral,Financials,,"ISCB offers ultra-low costs and 1,500+ holdings for diversification, while BBSC concentrates on fewer names with higher recent returns.",0.806,0.179,0.806,0.014
rss-5b2b38c38725852d,Energy,neutral,neutral,Energy,,ExxonMobil stock is attracting institutional interest.,0.502,0.483,0.502,0.015
rss-6065c0ca067e4299,Utilities,negative,negative,Utilities,,"A 31.7% 5 year return indicates that long term shareholders have already seen a sizable gain, which can reduce the margin of safety at today’s price.",0.423,0.214,0.363,0.423
rss-ac102e1d9a9787e2,Unmapped,negative,negative,Unmapped,,"Volkswagen to slash model lineup and shrink capacity — but no word on job cuts CNBC Volkswagen Is Cutting Production as Sales in China Plunge The New York Times Skoda Auto says it is not directly impacted by VW overhaul plans Reuters Why Volkswagen's huge workforce became a costly burden DW.com Volkswagen to scrap half of product lineup as China, EV pressures mount Yahoo Finance Volkswagen to slash model lineup and shrink capacity — but no word on job cuts CNBC Volkswagen Is Cutting Production as Sales in China Plunge The New York Times Skoda Auto says it is not directly impacted by VW overhaul plans Reuters Why Volkswagen's huge workforce became a costly burden DW.com Volkswagen to scrap half of product lineup as China, EV pressures mount Yahoo Finance",0.924,0.01,0.066,0.924
rss-42f32a2bf2d0a82e,Communication Services,neutral,neutral,Communication Services,,The S&P 500 Looks Pricey at 22x Earnings.,0.659,0.047,0.659,0.293
rss-9d2feb832da029ba,Technology,negative,negative,Technology,,Raising my kids in the Hamptons is financially difficult.,0.715,0.021,0.265,0.715
rss-7562a17a8fcba85d,Materials,negative,negative,Materials,earnings risk,"Away from capital returns, the company’s decision to lower its 2026 production outlook due to Grasberg mine delays highlights how operational execution risk can directly influence...",0.484,0.037,0.479,0.484
rss-45f9923353971d22,Healthcare,neutral,neutral,Healthcare,,"If you hold shares in this surgical robotics leader, you are already carrying a sizable two-sided risk, whether you trade options or not.",0.902,0.068,0.902,0.03
rss-03eda8d893e7bb08,Real Estate,neutral,neutral,Real Estate,liquidity risk,"SPG benefits from strong leasing, redevelopment and liquidity, but debt and e-commerce remain key risks.",0.563,0.394,0.563,0.042
rss-d7b0cded8c59adaf,Consumer Discretionary,neutral,neutral,Consumer Discretionary,,"The value-oriented, family retailer is prioritizing Nike, Levi's, opening prices on private brands, and an overall simpler merchandise presentation.",0.866,0.088,0.866,0.046
rss-ededc0ae817a18f6,Utilities,positive,positive,Utilities,,"Flowserve, Micron and Duke Energy combine solid sales growth, strong cash flow, favorable valuations and healthy profitability metrics.",0.94,0.94,0.048,0.012
rss-ce56fdaab8865d7c,Industrials,positive,positive,Industrials,,"GE Vernova, IBD's Stock Of The Day, is up 77% so far this year.",0.719,0.719,0.264,0.017
rss-1fccf1e8d5e7ce93,Consumer Discretionary,positive,positive,Consumer Discretionary,,"The latest trading day saw Home Depot (HD) settling at $357.9, representing a +2.01% change from its previous close.",0.771,0.771,0.026,0.203
rss-19dc6c75ab589311,Technology,neutral,neutral,Technology,,"Wealthy Americans choose one grocery store chain over rivals, survey finds Fox News Wealthy Americans choose one grocery store chain over rivals, survey finds Fox News",0.765,0.206,0.765,0.03
rss-136cf38cb30207a7,Healthcare,negative,negative,Healthcare,valuation risk,"Pfizer stock is trading in a range where recent returns have been weak over three years, yet the broader valuation checks still lean cheap and suggest the current share price may not fully reflect the company’s fundamentals.",0.676,0.193,0.131,0.676
rss-3afe630b4af527fa,Consumer Staples,positive,positive,Consumer Staples,,"Both retailers cater to a pressured consumer, but Dollar Tree's operational cleanup and clearer forward path currently present a more compelling case than Walmart's macro-battered giant.",0.505,0.505,0.295,0.2
rss-1fcb80a64df8e43d,Unmapped,positive,positive,Unmapped,,Bitcoin has a long history of bouncing back from extreme market declines.,0.717,0.717,0.058,0.225
rss-c1b3ef02498f6e7c,Communication Services,negative,negative,Communication Services,,"You can sign up here to receive it every Friday evening in your inbox.) With 2026 a bit more than half over, Berkshire Hathaway's B shares are down 1.8% year-to-date and 12.4 percentage points behind the S&P 500's 10.7% gain.",0.974,0.008,0.017,0.974
rss-2be26c7a412423da,Real Estate,positive,positive,Real Estate,,This represents one of Greater Boston's largest innovation office deals this year.,0.587,0.587,0.403,0.01
rss-24c19e51b40fdd71,Consumer Staples,negative,negative,Consumer Staples,,"Goldman Sachs has flagged gold as overcrowded, leaving retirees who depend on safe-haven exposure with a real problem to solve.",0.534,0.039,0.427,0.534
rss-6dc2e66d1b116d09,Consumer Discretionary,negative,negative,Consumer Discretionary,,Cathie Wood Backs Tesla and SoFi With Fresh Bets After Key Catalysts Cathie Wood Backs Tesla and SoFi With Fresh Bets After Key Catalysts,0.811,0.042,0.147,0.811
rss-84987b3157bccc53,Industrials,neutral,neutral,Industrials,,"GE Aerospace releases Q2 2026 results before market open on July 16, and the setup rewards conviction.",0.771,0.207,0.771,0.021
rss-219ce8460b98febc,Unmapped,neutral,neutral,Unmapped,,"Ultra is owned by private equity firm Advent International, and specialises in anti-submarine technology.",0.929,0.059,0.929,0.012
rss-9e97eb2bf9c21535,Utilities,neutral,neutral,Utilities,,"ET on Tuesday, Aug.",0.933,0.033,0.933,0.034
rss-13b632ac4ad780a2,Consumer Staples,neutral,neutral,Consumer Staples,,This is a sparkling choice to buy this month.,0.855,0.121,0.855,0.024
rss-75d29b06f794388a,Communication Services,positive,positive,Communication Services,earnings risk;valuation risk,"- Full-year guidance suggests that current growth will moderate closer to last year's levels, which isn't good for the AI growth narrative.",0.958,0.958,0.026,0.017
rss-af69d00fe2be2e60,Technology,positive,positive,Technology,,AMD Powers Higher After Unveiling Gigascale AI Campus Collaboration AMD Powers Higher After Unveiling Gigascale AI Campus Collaboration,0.94,0.94,0.04,0.02
rss-00d6443f00c063fd,Financials,negative,negative,Financials,interest rate risk,"The bank has also issued a more bearish outlook for the Japanese yen, citing ongoing fiscal and interest rate pressures in Japan.",0.489,0.269,0.241,0.489
rss-1ec6a0d232b8a5ca,Energy,positive,positive,Energy,,"XOM can continue Permian production with WTI below $70, as prices remain above shut-in levels and output growth plans stay on track.",0.797,0.797,0.161,0.043
rss-74327a74f945e623,Real Estate,negative,negative,Real Estate,,Agents who reported at least one price cut to active listings dropped dramatically from prior surveys.,0.955,0.033,0.012,0.955
rss-178a44b399ecff60,Materials,neutral,neutral,Materials,,It also has history on its side.,0.86,0.119,0.86,0.021
rss-767f4951102e989d,Energy,negative,negative,Energy,,"Exxon Mobil Corp (NYSE:XOM, XETRA:XONA) updated its second quarter 2026 earnings considerations after the market close on Tuesday, prompting UBS to slightly lower its earnings estimate while noting stronger quarter-over-quarter performance across the company's major business...",0.963,0.02,0.017,0.963
rss-af492ba6f8f7ca15,Materials,positive,positive,Materials,,"This mining stock has gained more than 42% over the past year, and analysts expect it to keep rising.",0.689,0.689,0.281,0.03
rss-baba36300a3a5a20,Healthcare,positive,positive,Healthcare,,"UnitedHealth is prioritizing profitability over rapid growth as improving margins, stronger earnings and Optum expansion aim to support a long-term turnaround.",0.782,0.782,0.183,0.034
rss-923daad8ee219f26,Financials,positive,positive,Financials,liquidity risk,Completes Refinancing of Asset-Based Lending Facility and Enhances Financial Flexibility.,0.591,0.591,0.395,0.014
rss-13286e0a501a7850,Industrials,negative,negative,Industrials,,"Ryanair passenger partially sucked out of window on flight from Greece Reuters Passenger Is Partly Sucked Through Window on Ryanair Subsidiary Flight, Reports Say The New York Times Video Shows Damaged Engine on Ryanair Boeing 737 After Mid-Air Window Strike Nearly Sucked Man Out Yahoo Ryanair passenger sucked out of airplane ‘to his shoulders’ after window breaks CNN Man nearly sucked out of window mid-air on Ryanair plane, passengers say BBC Ryanair passenger partially sucked out of window on flight from Greece Reuters Passenger Is Partly Sucked Through Window on Ryanair Subsidiary Flight, Reports Say The New York Times Video Shows Damaged Engine on Ryanair Boeing 737 After Mid-Air Window Strike Nearly Sucked Man Out Yahoo Ryanair passenger sucked out of airplane ‘to his shoulders’ after window breaks CNN Man nearly sucked out of window mid-air on Ryanair plane, passengers say BBC",0.856,0.015,0.13,0.856
rss-75b52a0d8bc58306,Financials,neutral,neutral,Financials,,The PNC Financial Services Group (PNC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report.,0.553,0.053,0.553,0.395
rss-880a523cd9ef0a14,Energy,neutral,neutral,Energy,,ExxonMobil vs.,0.808,0.156,0.808,0.036
rss-238e983a0c3902b1,Unmapped,negative,negative,Unmapped,,Wingstop’s stock slides 12% after profit falls short of estimates,0.971,0.01,0.019,0.971
rss-6fcd8bd6d549d3ba,Communication Services,neutral,neutral,Communication Services,valuation risk,"Using Ericsson technology and AT&T network expertise, it detected and located multiple drones, then tracked their movement, illustrating how wireless infra.",0.868,0.116,0.868,0.017
rss-d5ae219857e7be84,Technology,negative,negative,Technology,,Nvidia is lagging the market so far in 2026.,0.846,0.053,0.101,0.846
rss-a6e1a69d8dba430d,Materials,negative,negative,Materials,commodity risk,"Southern Copper (NYSE:SCCO) is the name on every commodity desk’s lips right now, with the stock up 73.95% over the past year on the back of a screaming copper tape.",0.438,0.215,0.347,0.438
rss-a834807eb097be8b,Healthcare,neutral,neutral,Healthcare,,"Holcomb will support Halifax by assessing and optimizing data infrastructure, analytics capabilities, and artificial intelligence readiness across portfolio companies and new investment opportunities.",0.707,0.269,0.707,0.024
rss-c22e13306263cddf,Real Estate,neutral,neutral,Real Estate,,(O) has received quite a bit of attention from Zacks.com users lately.,0.748,0.219,0.748,0.034
rss-c07032bc0dc7e027,Consumer Discretionary,neutral,neutral,Consumer Discretionary,,"Three of them stand out for July: a beaten-down quick-service leader, a biopharma machine firing on all cylinders, and a home improvement giant priced for a ...",0.891,0.079,0.891,0.03
rss-675d3fc34b87ef27,Utilities,positive,positive,Utilities,valuation risk,"This combination of anticipated profit and sales improvement, stable forecasts, and relatively rich valuation highlights investor confidence in Southern’s near-term business outlook.",0.547,0.547,0.431,0.022
rss-bb26ea71ecab73db,Industrials,positive,positive,Industrials,,"Honeywell's Building Automation momentum is driving growth as strong demand, rising orders and data center and healthcare investments support the segment's outlook.",0.871,0.871,0.111,0.018
rss-56b88b3e6aa6045b,Consumer Discretionary,positive,positive,Consumer Discretionary,,"Boasting robust wind resources in southern Brazil, the Gran Sul project will contribute to the country's electricity grid and support the energy transition by expanding the company's presence in hydropower, wind, and solar power.",0.651,0.651,0.34,0.009
rss-91fa898a2dc7e44f,Technology,neutral,neutral,Technology,,"Key PointsNvidia can still generate strong long-term returns, but its $4.7 trillion size makes another 100-fold gain effectively impossible.",0.423,0.395,0.423,0.182
rss-d520243c73b1f377,Healthcare,negative,negative,Healthcare,,AstraZeneca stock crashed Thursday after its Ionis-partnered treatment for a rare heart disease failed in Phase 3 testing.,0.958,0.022,0.02,0.958
rss-fc6eb27467580db2,Consumer Staples,positive,positive,Consumer Staples,,"Recent trading interest in Costco Wholesale (COST) has been fueled by a mix of strong recent results, high membership renewal rates, and new digital initiatives.",0.571,0.571,0.405,0.024
rss-71905c26ae6935b2,Unmapped,positive,positive,Unmapped,,"London Stock Exchange Group says income grew, led by Tradeweb",0.956,0.956,0.026,0.017
rss-c415bc19a86b16ba,Communication Services,negative,negative,Communication Services,valuation risk,Netflix shares are down 17% this year and recently touched a 52-week low.,0.973,0.007,0.02,0.973
rss-8b7d36bdda0ea1f1,Real Estate,positive,positive,Real Estate,,"DOC surges 28% in three months as leasing, occupancy gains and Janus Living growth support its shift toward labs and outpatient assets.",0.844,0.844,0.136,0.02
rss-cacecf64334221d9,Consumer Staples,negative,negative,Consumer Staples,,Slower comparable sales and tariff concerns remain key risks.,0.84,0.108,0.052,0.84
rss-c009c8702e9a963c,Consumer Discretionary,negative,negative,Consumer Discretionary,valuation risk,"Wendy's 28% gain in a month is fueled by retail-trader buzz, Project Fresh optimism and valuation appeal, but weak U.S.",0.415,0.412,0.172,0.415
rss-9c2ac864bd19fa78,Industrials,neutral,neutral,Industrials,,"Companies with federal interests — including Boeing, Lockheed Martin and Oracle — are sponsoring a Trump-aligned effort celebrating America’s 250th birthday.",0.756,0.23,0.756,0.014
rss-bcb668b1e05b419f,Unmapped,neutral,neutral,Unmapped,,"Mayor Mamdani announces 'Click to Cancel' rule to rid NYC of subscription traps and junk fees ABC7 New York New York City becomes first in the US to ban deceptive subscription practices The Guardian Mayor Mamdani Announces Landmark ""Click-To-Cancel"" Consumer Protection Rules to Ban Subscription Traps and Junk Fees NYC.gov Mamdani Announces New Click-To-Cancel Rule For New York City Engadget Mayor Mamdani Unveils Click-to-Cancel Rules in NYC Mirage News Mayor Mamdani announces 'Click to Cancel' rule to rid NYC of subscription traps and junk fees ABC7 New York New York City becomes first in the US to ban deceptive subscription practices The Guardian Mayor Mamdani Announces Landmark ""Click-To-Cancel"" Consumer Protection Rules to Ban Subscription Traps and Junk Fees NYC.gov Mamdani Announces New Click-To-Cancel Rule For New York City Engadget Mayor Mamdani Unveils Click-to-Cancel Rules in NYC Mirage News",0.871,0.099,0.871,0.029
rss-0cc4aac0a1164e17,Utilities,neutral,neutral,Utilities,,"A median Silicon Valley home can easily run near $1.6 million to $2 million, and today’s mortgage rates can turn that into a roughly $10,000 to $12,000 monthly housing payment once principal, interest, property taxes, and insurance are included.",0.85,0.126,0.85,0.024
rss-d5a398f57438cf32,Consumer Staples,neutral,neutral,Consumer Staples,,"That alternative is Vanguard Information Technology ETF (NYSEARCA:VGT), a roughly $143 billion fund that has ...",0.757,0.212,0.757,0.031
rss-ff5ca732519fb858,Communication Services,positive,positive,Communication Services,,BofA Securities reiterated its ‘Buy’ rating on Meta after a Reuters report said the company is ramping up its AI infrastructure with a custom-designed chip.,0.89,0.89,0.098,0.012
rss-0bfad27f80db7281,Technology,positive,positive,Technology,,Shares are up 15.49% year to date and sit at $313.39.,0.509,0.509,0.476,0.015
rss-bfc48480cdf4c21a,Financials,negative,negative,Financials,,"(Bloomberg) -- US stocks will struggle to reach new highs as investors rotate out of some of this year’s biggest winning technology trades, according to Morgan Stanley strategists.Most Read from BloombergOil, Gas Tankers Cross Hormuz Via Oman-Side Route After U-TurnsGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaThe Supertanker Tycoon Making Millions on Hormuz Shuttle RunsModi’s Flagship Biofuel Push Faces Backlash From MotoristsOil’s Supply Wave, Tumbling Prices Rekindle Fears (Bloomberg) -- US stocks will struggle to reach new highs as investors rotate out of some of this year’s biggest winning technology trades, according to Morgan Stanley strategists.Most Read from BloombergOil, Gas Tankers Cross Hormuz Via Oman-Side Route After U-TurnsGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaThe Supertanker Tycoon Making Millions on Hormuz Shuttle RunsModi’s Flagship Biofuel Push Faces Backlash From MotoristsOil’s Supply Wave, Tumbling Prices Rekindle Fears",0.856,0.056,0.088,0.856
rss-1797b4632bab0f0e,Energy,positive,positive,Energy,,"The firm’s price target reflects 32% upside from current levels, which sits just […] Exxon Mobil Corporation (NYSE:XOM) is one of the 10 Best Major Stocks to Buy According to Analysts.",0.48,0.48,0.46,0.06
rss-481eee322e6bbadf,Real Estate,negative,negative,Real Estate,,British warehouse business Segro has rebuffed a £12.6bn takeover approach from US rival Prologis as landlords invest billions to meet booming demand for AI data centres.,0.805,0.155,0.04,0.805
rss-30bb5d3244d740ba,Materials,neutral,neutral,Materials,,"This Established ""Picks and Shovels"" Mining Giant Is the Safer Way to Play the Metals Supercycle.",0.9,0.061,0.9,0.039
rss-29092ade5885c00e,Energy,negative,negative,Energy,commodity risk,"I covered Chevron CEO Mike Wirth's stark warning about oil price pressure building through June and July, and the IEA data showing global inventories drawing down at a record pace.",0.492,0.047,0.461,0.492
rss-dcd8a51c5eb0be5a,Materials,positive,positive,Materials,,"The producer price index was expected to increase 0.7% in May, according to the Dow Jones consensus forecast.",0.952,0.952,0.027,0.022
rss-1d4306678a7ab8f1,Healthcare,positive,positive,Healthcare,,"Merck (MRK) concluded the recent trading session at $126.78, signifying a -2.15% move from its prior day's close.",0.886,0.886,0.02,0.095
rss-894da997fc340258,Financials,positive,positive,Financials,valuation risk,"In recent weeks, Goldman Sachs Group has launched and completed multiple fixed-rate, callable senior notes offerings across maturities from 2027 to 2046, including issues such as US$50,000,000 of 4.25% Notes due August 2, 2027 and several longer-dated MTNs priced at 100% with small discounts per security.",0.643,0.643,0.341,0.017
rss-ef796b4edf04a6c8,Industrials,negative,negative,Industrials,,"Genpact’s stock price has taken a beating over the past six months, shedding 40.9% of its value and falling to a new 52-week low of $27.87 per share.",0.695,0.026,0.279,0.695
rss-ffc652ddb2283d72,Financials,neutral,neutral,Financials,,Morgan's JEMA ETF With a $20.8 Million Buy.,0.784,0.194,0.784,0.022
rss-ff11cb6cd13e189f,Energy,neutral,neutral,Energy,interest rate risk,"With an annual dividend yield of 3.01%, Exxon Mobil Corporation (NYSE:XOM) is included among the 14 Best Blue Chip Dividend Stocks to Buy According to Hedge Funds.",0.544,0.22,0.544,0.236
rss-1488198111c443e3,Unmapped,negative,negative,Unmapped,,Hibbett shares fall as Q1 sales miss analysts’ estimate,0.971,0.009,0.02,0.971
rss-2e2ec76a44805ebf,Communication Services,neutral,neutral,Communication Services,,"AUSTIN, Texas, July 07, 2026--Endeavor and its wholly owned subsidiary SOVA announce the acquisition of Unified Connection (UCX).",0.593,0.396,0.593,0.011
rss-0d66891f2c110163,Technology,negative,negative,Technology,,"On July 6, Wolfe Research cut its price target on Microsoft Corp (NASDAQ:MSFT) to $525 from $570, citing surging memory costs that lifted its FY27 capex forecast to $270 billion from $230 billion, while maintaining an Outperform rating.",0.455,0.303,0.242,0.455
rss-cf3c45934a7145e1,Materials,negative,negative,Materials,interest rate risk,A fat dividend yield can be the last thing a struggling company offers before it disappears entirely.,0.887,0.019,0.094,0.887
rss-62fe7120878a1301,Healthcare,neutral,neutral,Healthcare,,"Oh, I like these.",0.758,0.199,0.758,0.043
rss-c271041a16f9c59d,Real Estate,neutral,neutral,Real Estate,,"LONDON, July 09, 2026-- FORM 8.3 LONDON, July 09, 2026-- FORM 8.3",0.952,0.022,0.952,0.026
rss-25ce615b9f00cf7e,Consumer Discretionary,neutral,neutral,Consumer Discretionary,,Persistent earnings deceleration has been tracked by the Zacks Rank for over 2 years and one chart says it all Persistent earnings deceleration has been tracked by the Zacks Rank for over 2 years and one chart says it all,0.912,0.032,0.912,0.056
rss-0112d6d7c9251fbe,Utilities,positive,positive,Utilities,,"As the nation approaches Independence Day, Duke Energy is investing in American suppliers to help power local economies, support customer value and build the energy infrastructure needed to serve growing communities.",0.851,0.851,0.141,0.007
rss-f285c1e7ad0c5450,Industrials,positive,positive,Industrials,,GE Vernova (GEV) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,0.878,0.878,0.109,0.012
rss-c3560ab0f00f86db,Consumer Discretionary,positive,positive,Consumer Discretionary,,NKE's wholesale business is gaining momentum as stronger retail partnerships and healthier inventory support its turnaround strategy.,0.879,0.879,0.104,0.017
rss-50cc09ec56fe780d,Technology,neutral,neutral,Technology,,Is this a sign to follow the president's lead?,0.85,0.133,0.85,0.017
rss-873ffa2d1c2afebb,Healthcare,negative,negative,Healthcare,,"As the Q1 earnings season wraps, let’s dig into this quarter’s best and worst performers in the health insurance providers industry, including UnitedHealth (NYSE:UNH) and its peers.",0.879,0.021,0.1,0.879
rss-639bc1165b8b9b60,Consumer Staples,positive,positive,Consumer Staples,,"PepsiCo (PEP) is scheduled to report Q2 2026 results before the market opens on Thursday, July 9, kicking off the earnings season for many consumer staples companies.",0.555,0.555,0.399,0.046
rss-1eb8be22bffd6437,Unmapped,positive,positive,Unmapped,,Prediction: Carvana's New-Car Business Will Work.,0.826,0.826,0.162,0.012
rss-5972e039b9fd256c,Communication Services,negative,negative,Communication Services,,"Investing.com -- Netflix is exploring live TV channels and streaming bundles as internal discussions about declining subscriber engagement have become a recurring focus for senior management, according to the Wall Street Journal on Friday.",0.944,0.013,0.042,0.944
rss-ed103d9e15f3481e,Real Estate,positive,positive,Real Estate,liquidity risk,"WPC raises its quarterly dividend 1.1% to 94 cents, backed by high occupancy, rent growth, investment activity and strong liquidity.",0.7,0.7,0.277,0.023
rss-3a5f8b41788189fe,Consumer Staples,negative,negative,Consumer Staples,,"Costco's June Sales Rose 10.6%, but the Stock Fell 4%.",0.368,0.35,0.282,0.368
rss-0b5018c23473a80f,Consumer Discretionary,negative,negative,Consumer Discretionary,,The German automaker has struggled to compete with fast-growing Chinese companies that offer more affordable and sophisticated electric vehicles.,0.907,0.052,0.04,0.907
rss-e57bbec3a99ec5d7,Industrials,neutral,neutral,Industrials,,"As artificial intelligence continues to reshape industries, the pressure on technology companies to build and ...",0.84,0.139,0.84,0.021
rss-7ebbf0495a83fd7a,Unmapped,neutral,neutral,Unmapped,,Prediction Markets Are Exploding—but the Corporate Crackdown Has Already Begun inc.com Prediction Markets Are Exploding—but the Corporate Crackdown Has Already Begun inc.com,0.875,0.038,0.875,0.087
rss-5beb1bb7ca08b818,Utilities,neutral,neutral,Utilities,,"It is the flight home after a year apart, the dinner table with an extra leaf pulled out, the gifts that delight grandchildren, the church service on Christmas Eve, and the quiet satisfaction of being able to give generously without wondering how the credit card ...",0.915,0.055,0.915,0.03
rss-314421ad100e0fb4,Consumer Staples,neutral,neutral,Consumer Staples,interest rate risk,"The number you need to invest depends almost entirely on the yield you chase, and each yield tier carries a different set of tradeoffs that reveal themselves only after you own the position for a decade.",0.858,0.05,0.858,0.092
rss-85cad6857fd4a0ba,Communication Services,positive,positive,Communication Services,,"Shares of streaming video giant Netflix (NASDAQ:NFLX) jumped 5.3% in the afternoon session after reports clarified that a large-scale acquisition of NBCUniversal was not an imminent objective, easing investor anxiety about the potential deal.",0.931,0.931,0.024,0.045
rss-97fb218f2b4b7b3a,Technology,positive,positive,Technology,,"Constellation Energy's clean power deals, nuclear fleet and new generation projects position it to gain from rising AI-driven electricity demand.",0.784,0.784,0.207,0.009
rss-8ed4b68c3e423669,Financials,negative,negative,Financials,,Goldman Sachs has revised its yen forecast to 165 per dollar and warned intervention impact will likely be short-lived.,0.947,0.034,0.019,0.947
rss-85487ca75efce2a8,Energy,positive,positive,Energy,,"XOM's $1B Usan Infill Project marks its return to drilling in Nigeria and adds 40,000 barrels per day within 18 months.",0.912,0.912,0.078,0.01
rss-f919edfebb5d4814,Real Estate,negative,negative,Real Estate,valuation risk;liquidity risk,A refinancing headwind and a leadership transition raise real questions about whether the premium valuation can hold.,0.68,0.051,0.27,0.68
rss-85d8bdac1dd36143,Materials,neutral,neutral,Materials,,"(DOW) Stock Sinks As Market Gains: Here's Why In the latest trading session, Dow Inc.",0.386,0.382,0.386,0.233
rss-763f7d315ae1aca8,Energy,negative,negative,Energy,,"America’s Big Oil groups are set to post record profits stemming from Donald Trump’s Iran war, setting them on a collision course with the US...",0.528,0.41,0.061,0.528
rss-b600786091aa6fda,Materials,positive,positive,Materials,liquidity risk,"The company, co-founded by mining financier ⁠Robert Friedland and Chief Technology Officer Laurent Frescaline, said the funding would help ​develop high-performance ​silicon-carbide semiconductor components ​used in pulsed-power ‌systems.",0.761,0.761,0.228,0.011
rss-fd38549425e522a6,Healthcare,positive,positive,Healthcare,,"Healthcare stocks were higher late Thursday afternoon, with the NYSE Healthcare Index and the State Healthcare stocks were higher late Thursday afternoon, with the NYSE Healthcare Index and the State",0.942,0.942,0.031,0.026
rss-71a5e06466642664,Financials,positive,positive,Financials,,"The move came after analyst Rajat Gupta raised his price target to $15 per share from $9 per share, following Rivian’s recent delivery report.",0.62,0.62,0.215,0.165
rss-2f58cb6f9f62fef2,Industrials,negative,negative,Industrials,,"Boeing Co.’s commercial and military aircraft production was significantly disrupted coast-to-coast by an unplanned IT outage on Monday, the crucial final day of the financial quarter for the aerospace giant.",0.963,0.01,0.027,0.963
rss-e62a946847536b5f,Financials,neutral,neutral,Financials,,"Physical AI has moved from promise to commercial reality, but deploying robots at scale remains the industry's central challenge, according to Citi.",0.836,0.15,0.836,0.014
rss-adf9d333fca35e80,Energy,neutral,neutral,Energy,interest rate risk,"Dividend funds pulled in $24.1 billion in the first quarter of 2026, their strongest opening quarter in four years, and a lot of that cash went looking for a boring place to hide from AI-hype exhaustion.",0.8,0.057,0.8,0.143
rss-8b0490ab00ccd63f,Unmapped,negative,negative,Unmapped,,One of the biggest options trades in the entire market Thursday seems to suggest small caps might lead the next move up or down.,0.892,0.026,0.082,0.892
rss-860c388ad7b45fc3,Communication Services,neutral,neutral,Communication Services,valuation risk,The US stock market declined in the quarter with the S&P 500 index (“S&P”) and the Russell 1000 Growth index (“RLG”) […],0.495,0.071,0.495,0.434
rss-3cee3be79e772529,Technology,negative,negative,Technology,,"If hyperscaler cash flow can't accelerate as Wall Street expects, the market could face a series of risks, Apollo's Torsten Sløk says.",0.894,0.025,0.081,0.894
rss-ca85c9b40cbba823,Materials,negative,negative,Materials,valuation risk,"Investing.com -- RBC Capital Markets downgraded Dow to Sector Perform from Outperform and cut its price target to $28 from $51, saying recent gains in polyethylene prices are likely to prove short-lived while the company's multibillion-dollar Alberta petrochemicals project will continue to strain cash flow.",0.967,0.012,0.021,0.967
rss-9a5cbbd0946afafe,Healthcare,neutral,neutral,Healthcare,,"Wages depend on a functioning employer, a healthy economy, and the continued willingness of both to keep the seat warm.",0.781,0.172,0.781,0.047
