article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-9f8bc9130e05c3f3,Consumer Staples,neutral,neutral,Consumer Staples,macro risk,"The better question is which income stream can hold up after inflation, market cycles, and years ...",0.651,0.136,0.651,0.213
rss-eec67363181a3253,Communication Services,negative,negative,Communication Services,macro risk,Yahoo Finance Tech Editor Dan Howley discusses OpenAI Product and Business Chief Fidji Simo stepping down from her role due to ongoing medical issues.,0.832,0.011,0.157,0.832
rss-136cf38cb30207a7,Healthcare,negative,negative,Healthcare,valuation risk,"Pfizer stock is trading in a range where recent returns have been weak over three years, yet the broader valuation checks still lean cheap and suggest the current share price may not fully reflect the company’s fundamentals.",0.676,0.193,0.131,0.676
rss-2a5e1f01200de0ce,Unmapped,negative,negative,Unmapped,macro risk,"states are the most expensive places to live in America in 2026, with inflation punishing residents to an extreme degree.",0.663,0.045,0.292,0.663
rss-b6deae5783712afa,Unmapped,neutral,neutral,Unmapped,macro risk,Trump rang the bell in the Oval Office to open Monday's trading as he launched investment accounts for babies born from 2025 through 2028.,0.867,0.116,0.867,0.017
rss-974f8c5cbbb20b24,Technology,negative,negative,Technology,valuation risk,Jim Cramer is furious that investors keep dumping one of the most proprietary chip companies ever built while rewarding a commodity memory stock with a higher forward multiple.,0.525,0.032,0.443,0.525
rss-5e0d0bd29ad0c69c,Energy,neutral,neutral,Energy,interest rate risk,"With an annual dividend yield of 4.21%, Chevron Corporation (NYSE:CVX) is included among the 14 Best Blue Chip Dividend Stocks to Buy According to Hedge Funds.",0.834,0.133,0.834,0.033
rss-717da262e41b195d,Materials,positive,positive,Materials,macro risk,Freeport-McMoRan (FCX) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,0.848,0.848,0.139,0.013
rss-9041784a8cc80d96,Energy,negative,negative,Energy,commodity risk,"A number of stocks fell in the afternoon session after crude oil dropped to its lowest level since the start of the Iran war, as tankers resumed transit through the Strait of Hormuz and the U.S.",0.526,0.428,0.046,0.526
rss-b626d098fa6d35ec,Communication Services,neutral,neutral,Communication Services,macro risk,"Recently, Zacks.com users have been paying close attention to Verizon (VZ).",0.839,0.149,0.839,0.012
rss-bdb84457e8096d5c,Communication Services,positive,positive,Communication Services,macro risk,"Aduna, a leading global provider of standardized network APIs, today announced a major leap forward in digital security designed to reduce fraud across the U.S.",0.599,0.599,0.389,0.012
rss-ea4e7d63b2915291,Real Estate,neutral,neutral,Real Estate,macro risk,"O expands into data centers with a new joint venture, targeting hyperscale assets and up to $1.4B in investments across the U.S.",0.615,0.368,0.615,0.017
rss-9825f695f6642a28,Healthcare,neutral,neutral,Healthcare,interest rate risk,"A $750,000 portfolio at a 5% yield produces $37,500 a year.",0.881,0.03,0.881,0.089
rss-628b2802f131ae36,Real Estate,negative,negative,Real Estate,interest rate risk,"The 10-year Treasury yield sits at 4%, down from its May 19 peak of 5%, and the Fed Funds upper bound has held at 4% for six months after two cuts in late 2025.",0.564,0.17,0.267,0.564
rss-d907bba425ccc433,Real Estate,positive,positive,Real Estate,macro risk,Prologis (PLD) has urged shareholders from the UK's SEGRO to encourage the company's board to engage Prologis (PLD) has urged shareholders from the UK's SEGRO to encourage the company's board to engage,0.761,0.761,0.227,0.012
rss-39b2e9fb80e42286,Consumer Staples,positive,positive,Consumer Staples,macro risk,This has proven to be one of the most resilient consumer brands in recent years.,0.85,0.85,0.141,0.009
rss-8d5565f51fb4c172,Consumer Discretionary,neutral,neutral,Consumer Discretionary,macro risk,Retail and cloud giant faces its next reinvention Retail and cloud giant faces its next reinvention,0.915,0.057,0.915,0.028
rss-aa92189934c5ab13,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,Tesla stock skids despite strong quarterly deliveries.,0.616,0.358,0.025,0.616
rss-665c90d2a6db86e3,Technology,neutral,neutral,Technology,macro risk,Startup PrismML has gotten an artificial intelligence model running on an Apple (AAPL) iPhone 17 Pro Startup PrismML has gotten an artificial intelligence model running on an Apple (AAPL) iPhone 17 Pro,0.637,0.352,0.637,0.011
rss-d3f4c63be36268bf,Utilities,positive,positive,Utilities,valuation risk,"Southern has delivered a 91.7% return over the past 5 years, yet at around US$97.98 the stock now screens as about fairly priced on earnings multiples, while its broader valuation checks lean expensive rather than clearly cheap.",0.755,0.755,0.188,0.057
rss-7f9120d99382b267,Unmapped,positive,positive,Unmapped,macro risk,Morgan Stanley says the bull case for the rocket-launch stock is now much rosier as the company diversifies its business.,0.646,0.646,0.293,0.061
rss-c301d2507e315ee2,Financials,negative,negative,Financials,valuation risk,"(Bloomberg) -- The wave of AI-fueled earnings surprises that powered stocks in the last earning season will be tough to repeat, making it unlikely the results alone will spark a major rally, according to Christian Mueller-Glissmann.Most Read from BloombergTrump Says US Ceasefire With Iran Is ‘Over’ After StrikesGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaUS Strikes Iran and Blocks Oil Sales in New Test of TruceChip Stocks Sink After Blistering Run as Oil Jumps: Markets WrapTw.",0.702,0.065,0.233,0.702
rss-aade0727715ccd9d,Materials,neutral,neutral,Materials,commodity risk,"copper industry is valued at around $20 billion, and is one of the key market indicators many market participants watch closely.",0.608,0.226,0.608,0.165
rss-cb49fc7374b697ae,Financials,neutral,neutral,Financials,macro risk,"On Wednesday, July 8, 2026, some of the highest CD rates are at 4% APY.",0.858,0.069,0.858,0.073
rss-f83248453ab6354a,Consumer Discretionary,positive,positive,Consumer Discretionary,macro risk,Tesla sales in Britain have rebounded sharply as a backlash against Elon Musk fades and petrol prices push more drivers to buy electric vehicles (EVs).,0.932,0.932,0.017,0.051
rss-182c501b417c5c4e,Financials,positive,positive,Financials,earnings risk,"Big Bank stocks should see investment banking and trading revenues exceed prior guidance, JPMorgan said Monday ahead of the group's earnings next week.",0.671,0.671,0.249,0.08
rss-e404752c85ebf943,Healthcare,positive,positive,Healthcare,valuation risk,"Merck shares recently pulled back, with a 1-day share price return declining 2.23% to close at US$125.99.",0.43,0.43,0.357,0.213
rss-c494fb64ad4cfb23,Industrials,negative,negative,Industrials,macro risk,"Yahoo Finance Markets and Data Editor Jared Blikre takes a closer look at the memory chip trade — particularly the intraday performances of Micron Technology (MU), SK Hynix (000660.KS), and Samsung (005930.KS) — as these three big names have seemingly dragged the sector into a bear market.",0.891,0.021,0.088,0.891
rss-8b58474201fc42e3,Energy,positive,positive,Energy,macro risk,The arrangement extends a relationship between Chevron and Alinta Energy that has spanned more than 40 years.,0.816,0.816,0.175,0.009
rss-6da045df5d2e1453,Industrials,positive,positive,Industrials,macro risk,Boeing is adding a new 737 MAX assembly line as part of a goal to lift output to 47 jets per month and beyond.,0.939,0.939,0.046,0.015
rss-50dc94fce0b23ae0,Materials,negative,negative,Materials,commodity risk,"Freeport-McMoRan reported output pressure at its Grasberg mine, a key copper asset, as global copper demand remains robust.",0.645,0.184,0.171,0.645
rss-708292dab5b2f376,Consumer Staples,negative,negative,Consumer Staples,macro risk,"In early July 2026, Walmart (NYSE:WMT) made headlines by revealing it would be trimming prices on a batch of grocery and household staples, including double-digit cuts on ground beef and price drops of more than a third on multipacks of Coca-Cola.",0.58,0.034,0.387,0.58
rss-84781e17821ecd3c,Industrials,neutral,neutral,Industrials,macro risk,One established materials supplier anchors aerospace demand; the other races to profitability through aggressive expansion.,0.505,0.48,0.505,0.015
rss-c338e283a78733ce,Utilities,neutral,neutral,Utilities,interest rate risk,"With an annual dividend yield of 3.20%, The Southern Company (NYSE:SO) is included among the 12 Best S&P 500 Stocks to Buy for Dividends.",0.807,0.161,0.807,0.031
rss-59e69d776043728f,Technology,positive,positive,Technology,regulatory risk,"The UK government has formally classified major cloud computing providers, including Microsoft (NASDAQ:MSFT), Google (NASDAQ:GOOG), Amazon (NASDAQ:AMZN) and Oracle (NYSE:ORCL), as critical third-party suppliers to the country’s financial services industry, subjecting them to direct regulatory supervision.",0.637,0.637,0.337,0.026
rss-84b0280cf8388dfe,Consumer Staples,neutral,neutral,Consumer Staples,interest rate risk,"A dividend portfolio can produce the same gross income without a time clock, but the required portfolio can range from about $151,000 to more than $500,000 depending on the yield.",0.74,0.049,0.74,0.211
rss-9a0b4459aa15fda1,Communication Services,negative,negative,Communication Services,geopolitical risk,(Updates with index/price moves and company/geopolitical news from the first paragraph.) US equit.,0.898,0.079,0.023,0.898
rss-56412675a9b56649,Healthcare,negative,negative,Healthcare,macro risk,"While Wall Street fixated on a gloomy forecast, the company was making a painful but telling choice that hinted at the turnaround to come.",0.715,0.068,0.217,0.715
rss-63a40eb5db5c1302,Unmapped,negative,negative,Unmapped,macro risk,Silver has plunged 50% from its January peak to $60.,0.729,0.029,0.242,0.729
rss-8739a5ac8ee8f0c5,Unmapped,neutral,neutral,Unmapped,macro risk,"Also: How young people buy homes, the Trump-account lowdown and three stock screens.",0.91,0.036,0.91,0.055
rss-2d0bbd2db8ebcc35,Technology,negative,negative,Technology,valuation risk,"For three years, the AI rally left Qualcomm behind.",0.44,0.146,0.414,0.44
rss-61200f442e66f3e4,Energy,neutral,neutral,Energy,earnings risk,"In late June 2026, Chevron Corporation was removed from the Russell 1000 Dynamic Index even as analysts highlighted strengthening fundamentals and project execution.",0.468,0.192,0.468,0.34
rss-af492ba6f8f7ca15,Materials,positive,positive,Materials,macro risk,"This mining stock has gained more than 42% over the past year, and analysts expect it to keep rising.",0.689,0.689,0.281,0.03
rss-5c81ac259b715fc5,Energy,negative,negative,Energy,macro risk,"Energy stocks were lower late Thursday afternoon, with the NYSE Energy Sector Index falling 1.2% and Energy stocks were lower late Thursday afternoon, with the NYSE Energy Sector Index falling 1.2% and",0.975,0.008,0.017,0.975
rss-eda7f022bfd25316,Communication Services,neutral,neutral,Communication Services,macro risk,The mandates include $30 billion in pension assets and $40 billion in Verizon defined-contribution retirement assets The mandates include $30 billion in pension assets and $40 billion in Verizon defined-contribution retirement assets,0.941,0.028,0.941,0.031
rss-326b1f093ebc18f4,Communication Services,positive,positive,Communication Services,macro risk,Tencent's 10-year Indonesia agreement supports its 2030 carbon neutrality goal as Google also expands carbon removal purchases.,0.9,0.9,0.092,0.008
rss-ada0aa542a0e7dd8,Real Estate,neutral,neutral,Real Estate,macro risk,"LONDON, July 06, 2026-- FORM 8.3 LONDON, July 06, 2026-- FORM 8.3",0.953,0.021,0.953,0.026
rss-db27a0bd3287b00c,Healthcare,neutral,neutral,Healthcare,macro risk,Healthcare stocks are attractive in a choppy market.,0.684,0.232,0.684,0.083
rss-e218eb3abcb175df,Real Estate,negative,negative,Real Estate,macro risk,"Pre-Market Stock Futures: Futures are trading lower as we get ready to start the third quarter after a record-setting second quarter that saw the Dow Jones Industrial Average close at 52,317, up 0.26% to finish the venerable index’s best first half since 2021, while the Nasdaq finished the session at 26,213, up 1.52% for the ...",0.658,0.022,0.32,0.658
rss-c9128118b5667e8b,Real Estate,positive,positive,Real Estate,macro risk,"Macerich's leasing pipeline to add roughly $116M in gross revenues and lift NOI through 2028, but leverage and tenant churn remain key hurdles.",0.921,0.921,0.033,0.046
rss-1bc08f92b264fb8d,Consumer Staples,positive,positive,Consumer Staples,macro risk,MNST is riding strong energy drink demand and product innovation to fuel growth while expanding its global footprint and market share.,0.76,0.76,0.232,0.008
rss-b613157adebff189,Consumer Discretionary,neutral,neutral,Consumer Discretionary,macro risk,"Together with a rapidly expanding Megapack order book and growing focus on AI and robotics, these moves highlight Tesla’s push to evolve from a pure EV manufacturer into a broader software, energy, and autonomous services platform.",0.531,0.449,0.531,0.02
rss-666307480815ca90,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,"China's passenger-car sales fell 23.2%, while exports and Tesla's Shanghai deliveries helped offset domestic weakness.",0.919,0.065,0.015,0.919
rss-3771f22e4514c33a,Technology,neutral,neutral,Technology,macro risk,What can I do?,0.791,0.041,0.791,0.168
rss-1e855a639337b271,Utilities,positive,positive,Utilities,macro risk,Duke Energy Florida is delivering $50 million in customer savings in 2027.,0.891,0.891,0.098,0.011
rss-8e4213fae3205f64,Unmapped,positive,positive,Unmapped,valuation risk,"Anduril recently hit a $61 billion valuation, becoming one of the most highly valued private tech companies.",0.811,0.811,0.173,0.015
rss-dbe2ecfb2bed478c,Financials,negative,negative,Financials,commodity risk,"Goldman Sachs has reversed its recent bearish oil outlook, warning that renewed disruptions in the Strait of Hormuz could delay Middle Eastern production recovery and tighten global crude supplies.",0.966,0.013,0.02,0.966
rss-875389efbf190a06,Materials,neutral,neutral,Materials,macro risk,(FCX) is Attracting Investor Attention: Here is What You Should Know Freeport-McMoRan (FCX) has been one of the stocks most watched by Zacks.com users lately.,0.895,0.082,0.895,0.023
rss-128e168ba20178dd,Financials,neutral,neutral,Financials,macro risk,"AstraZeneca PLC (LSE:AZN, NASDAQ:AZN) has been kept on a 'buy' rating by Citi, which pointed to a run of late-stage drug trial results in the second half of the year as the key driver for the shares.",0.419,0.202,0.419,0.379
rss-7e43df0580f342fd,Consumer Discretionary,positive,positive,Consumer Discretionary,macro risk,"The global battery electric vehicle market is poised for robust growth driven by advancements in lithium-ion technology that enhance range and efficiency, supporting quicker adoption of cleaner mobility solutions.",0.702,0.702,0.287,0.011
rss-a0e884d22d8b1e29,Financials,positive,positive,Financials,macro risk,Can its growth initiatives support further upside from here?,0.534,0.534,0.435,0.032
rss-7f4bd597fc957a28,Healthcare,positive,positive,Healthcare,interest rate risk,"has outperformed the S&P 500 in 2026, rising 19% year-to-date while offering a 2.61% dividend yield supported by 15 consecutive years of dividend increases.",0.685,0.685,0.262,0.053
rss-9137dc930e23a89e,Industrials,negative,negative,Industrials,macro risk,"Stock Market Today: The Dow Jones index sells off Wednesday after Trump declares the ceasefire is ""over."" Stock Market Today: The Dow Jones index sells off Wednesday after Trump declares the ceasefire is ""over.""",0.733,0.024,0.242,0.733
rss-7124ea00b7bc1621,Energy,positive,positive,Energy,macro risk,"The latest trading day saw Chevron (CVX) settling at $175.92, representing a +1.1% change from its previous close.",0.829,0.829,0.022,0.149
rss-0b1f061d55c5b59a,Industrials,positive,positive,Industrials,macro risk,"(Skycatch), a leading provider of spatial data capture, processing and analysis solutions for the mining industry, further enhancing its capabilities following the recent acquisition of RPMGlobal (RPM).",0.572,0.572,0.413,0.015
rss-407a2ae704583314,Materials,negative,negative,Materials,macro risk,"MEOH will indefinitely idle its Titan methanol plant in Trinidad after failing to secure a new gas contract, while preserving restart optionality.",0.952,0.009,0.039,0.952
rss-799f1bde27981843,Consumer Staples,negative,negative,Consumer Staples,macro risk,"Coca-Cola (KO) closed at $82.55 in the latest trading session, marking a -1.02% move from the prior day.",0.52,0.465,0.016,0.52
rss-e6bdc1d65cdf42a7,Industrials,neutral,neutral,Industrials,valuation risk,"Instead, however, he ended up with a substance that stuck to surfaces lightly, could be peeled off easily, and could be reused multiple times ...",0.858,0.052,0.858,0.09
rss-ea6bc5305436584b,Utilities,neutral,neutral,Utilities,macro risk,"A retired couple’s grocery bill is one of the most inflation-sensitive lines in the household budget because it has to be paid every week, not once a year.",0.877,0.056,0.877,0.067
rss-582ae7b14dd3f702,Technology,positive,positive,Technology,macro risk,"Meta also wants to double its overall computing capacity to 14 gigawatts in 2027, Reuters reports.",0.816,0.816,0.174,0.009
rss-8a0126104be8bb2e,Consumer Staples,neutral,neutral,Consumer Staples,macro risk,Food manufacturing companies continue to grow even as the jobs behind familiar grocery products shift.,0.562,0.24,0.562,0.198
rss-5f2e51c13bf67c27,Communication Services,negative,negative,Communication Services,macro risk,US equity indexes traded mixed this week as growth sectors lifted the Nasdaq Composite and S&P 500 a.,0.518,0.385,0.097,0.518
rss-f70a76af3d815b64,Healthcare,negative,negative,Healthcare,macro risk,"On Friday, the S&P 500’s healthcare sector was the only major sector trading down more than 0.1%: It was down 0.7%.",0.925,0.011,0.064,0.925
rss-0d59704b5f5e8048,Unmapped,negative,negative,Unmapped,macro risk,“It’s an American tragedy” when small businesses close up shop.,0.726,0.018,0.255,0.726
rss-45de46c74c77366f,Unmapped,neutral,neutral,Unmapped,macro risk,adults define the American Dream as being part of a community.,0.875,0.046,0.875,0.078
rss-ad304d52e76bb274,Technology,negative,negative,Technology,macro risk,These stocks were down more than 14% at the halfway mark of the year.,0.523,0.031,0.447,0.523
rss-cb3ebb8c595ee065,Energy,neutral,neutral,Energy,macro risk,"Over the past year, ConocoPhillips has delivered a 21.0% return, and the stock is up 102.3% over...",0.674,0.278,0.674,0.048
rss-03d86b62ec961662,Materials,positive,positive,Materials,commodity risk,"(Updates with economic data, recent oil price movement, world markets' overview and corporate stock.",0.597,0.597,0.13,0.273
rss-9a123fedb5187ddd,Energy,negative,negative,Energy,commodity risk,"(Updates with economic data, recent oil price movement, world markets' overview and corporate stock.",0.943,0.012,0.044,0.943
rss-7afdbe385b2069dc,Communication Services,neutral,neutral,Communication Services,macro risk,AT&T's profitability surged 101% year-over-year while Verizon faces integration headwinds from billion-dollar acquisitions.,0.552,0.41,0.552,0.038
rss-a7e9376ee7e4fde1,Communication Services,positive,positive,Communication Services,macro risk,Analyst Sees More Upside for Meta Stock After AI Spending Boost Analyst Sees More Upside for Meta Stock After AI Spending Boost,0.937,0.937,0.035,0.028
rss-b2db012eed006fb0,Real Estate,neutral,neutral,Real Estate,interest rate risk,"With an annual dividend yield of 5.07%, Realty Income Corporation (NYSE:O) is included among the 14 Best Blue Chip Dividend Stocks to Buy According to Hedge Funds.",0.818,0.167,0.818,0.014
rss-62eb75896f60e374,Healthcare,neutral,neutral,Healthcare,macro risk,"The newly accredited entities are: The Association for the Accreditation of Human Research Protection Programs has awarded full accreditation to five more entities, including the U.S.",0.532,0.457,0.532,0.011
rss-e951899c8f4e3008,Real Estate,negative,negative,Real Estate,macro risk,"VNQ and US REITs haven't posted a July loss since 2008, extending a rare seasonal streak despite persistent rate headwinds.",0.778,0.201,0.02,0.778
rss-8b7d36bdda0ea1f1,Real Estate,positive,positive,Real Estate,macro risk,"DOC surges 28% in three months as leasing, occupancy gains and Janus Living growth support its shift toward labs and outpatient assets.",0.844,0.844,0.136,0.02
rss-b71254eb5a7c5dd1,Consumer Staples,positive,positive,Consumer Staples,macro risk,The top beverage company's shares have risen 18% in the past 12 months.,0.654,0.654,0.328,0.018
rss-ee06ed2d5d61cc61,Consumer Discretionary,neutral,neutral,Consumer Discretionary,interest rate risk,"With an annual dividend yield of 3.72%, NIKE, Inc.",0.677,0.239,0.677,0.084
rss-03a4ae41a77fd254,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,"Some cash-heavy businesses struggle with inefficient spending, slowing demand, or weak competitive positioning.",0.524,0.403,0.074,0.524
rss-10592e5dd6c8898a,Technology,neutral,neutral,Technology,macro risk,The ChatGPT developer’s recent model beats releases from Elon Musk’s SpaceX and Alphabet’s Google on Artificial Analysis’s intelligence ranking.,0.679,0.306,0.679,0.014
rss-6e74b50058557179,Utilities,positive,positive,Utilities,macro risk,"Constellation Energy expands beyond its nuclear base with renewable, geothermal and energy-storage projects, supported by growth investments that strengthen its clean-power platform.",0.897,0.897,0.095,0.008
rss-2473bd1abf4f66c7,Unmapped,positive,positive,Unmapped,macro risk,"Demand for chefs, personal assistants, butlers, nannies, housekeepers, chauffeurs and estate managers have reached records, according to Morgan & Mallet.",0.704,0.704,0.165,0.132
rss-a4049c25e5aa4177,Financials,negative,negative,Financials,macro risk,"(Bloomberg) -- Executives at some of Wall Street’s biggest names have faced a barrage of recent questions about whether artificial intelligence has crippled the value of their software investments.Most Read from BloombergGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaOil, Gas Tankers Cross Hormuz Via Oman-Side Route After U-TurnsThe Tanker Tycoon Making Millions on Hormuz Shuttle RunsModi’s Flagship Biofuel Push Faces Backlash From MotoristsFIFA Allows Balogun to Play After Trum (Bloomberg) -- Executives at some of Wall Street’s biggest names have faced a barrage of recent questions about whether artificial intelligence has crippled the value of their software investments.Most Read from BloombergGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaOil, Gas Tankers Cross Hormuz Via Oman-Side Route After U-TurnsThe Tanker Tycoon Making Millions on Hormuz Shuttle RunsModi’s Flagship Biofuel Push Faces Backlash From MotoristsFIFA Allows Balogun to Play After Trum",0.848,0.028,0.124,0.848
rss-c1e6c62c77a0bace,Materials,neutral,neutral,Materials,regulatory risk,He also outlined longer-term ambitions to introduce a dividend policy once regulatory requirements are met.,0.621,0.364,0.621,0.015
rss-fbc7706cd757ced6,Financials,neutral,neutral,Financials,macro risk,Citigroup Inc.,0.571,0.395,0.571,0.034
rss-3a9b3d99a62d79b0,Consumer Discretionary,positive,positive,Consumer Discretionary,demand risk,traffic pressures linger.,0.425,0.425,0.202,0.372
rss-879af30cc05f3f9b,Financials,positive,positive,Financials,macro risk,"PNC raises its dividend by 18% following the Fed's 2026 stress test, reflecting a strong capital position and shareholder return plans.",0.952,0.952,0.026,0.022
rss-fa8ebe421f95a457,Healthcare,positive,positive,Healthcare,macro risk,Biopharma sector's performance in H2 is expected to be driven more by company fundamentals rather th Biopharma sector's performance in H2 is expected to be driven more by company fundamentals rather th,0.696,0.696,0.233,0.07
rss-ed040b84244ebdf9,Industrials,negative,negative,Industrials,macro risk,Reuters reported on June 30 that The Boeing Company (NYSE:BA) announced that an unplanned ‌IT outage affected some of its computer systems and applications.,0.622,0.299,0.079,0.622
rss-dfc5c0cc0adcf4c8,Energy,positive,positive,Energy,macro risk,"VOO is up 10.25% year-to-date through July 7, 2026, riding a benchmark that continues to be dominated by mega-cap technology.",0.758,0.758,0.224,0.017
rss-b24e8ea66dfc485e,Industrials,positive,positive,Industrials,valuation risk,"Boeing stock has edged up around 4.0% over the past month, and the valuation signals are split, with the Discounted Cash Flow (DCF) intrinsic value estimate pointing to a large discount while market based multiples lean the other way.",0.577,0.577,0.164,0.259
rss-ae0ea91c47268dbf,Materials,negative,negative,Materials,macro risk,"Most tech stocks are having another great year, leading to worries that market-tracking index funds are overvalued and far too concentrated.",0.495,0.026,0.479,0.495
rss-24c19e51b40fdd71,Consumer Staples,negative,negative,Consumer Staples,macro risk,"Goldman Sachs has flagged gold as overcrowded, leaving retirees who depend on safe-haven exposure with a real problem to solve.",0.534,0.039,0.427,0.534
rss-3718b70ab3085c8b,Industrials,neutral,neutral,Industrials,macro risk,FAA is expected to certify the MAX 7 this month and soon restore Boeing's final 737 safety signoff authority.,0.502,0.453,0.502,0.045
rss-db282839cf52c2b4,Utilities,neutral,neutral,Utilities,macro risk,"On June 24, Morgan Stanley analyst David Arcaro upped the firm’s price […]",0.53,0.456,0.53,0.014
rss-056079f049d0fb60,Technology,positive,positive,Technology,macro risk,"Take-Two 'GTA VI' Pre-Order Data Indicate 'Robust' Demand, B.",0.561,0.561,0.419,0.02
rss-1021a9204cada9b1,Consumer Staples,neutral,neutral,Consumer Staples,macro risk,"Under the revised scheme, the e-commerce group will not levy commission on any fashion sale.",0.851,0.026,0.851,0.123
rss-dbcc0d8a42cfaff0,Communication Services,negative,negative,Communication Services,macro risk,"Both Netflix and T-Mobile stocks have been battered this year and bounced hard last week, but their risk profiles could not be more different for a retiree counting on that portfolio to pay the bills.",0.551,0.043,0.406,0.551
rss-5405d8c162af4447,Healthcare,negative,negative,Healthcare,macro risk,"While rivals scramble to replace lost revenue, Lilly is opening an unprecedented gap by being a “contrarian,” as one expert says.",0.661,0.071,0.268,0.661
rss-8b0490ab00ccd63f,Unmapped,negative,negative,Unmapped,macro risk,One of the biggest options trades in the entire market Thursday seems to suggest small caps might lead the next move up or down.,0.892,0.026,0.082,0.892
rss-9e93f8b9bec47815,Unmapped,neutral,neutral,Unmapped,macro risk,President Donald Trump told CNBC's Joe Kernen last week that he thought SpaceX CEO Elon Musk would donate company stock to the program.,0.798,0.193,0.798,0.01
rss-76e3d3d7d18b6a39,Technology,negative,negative,Technology,macro risk,"Advanced Micro Devices (AMD) concluded the recent trading session at $513.58, signifying a -6.97% move from its prior day's close.",0.497,0.489,0.015,0.497
rss-0b2f5f589b6f2d60,Energy,neutral,neutral,Energy,valuation risk,"Noble's profitability and lean balance sheet stand in sharp contrast to Transocean's $2.9B loss, but scale and valuation tell a different story.",0.766,0.18,0.766,0.054
rss-c3d150e03412a014,Materials,positive,positive,Materials,earnings risk,"This adjustment lines up with fresh research where some analysts have been lifting targets into the low to high US$70s, while others remain more cautious as they weigh copper exposure against execution risks and recent trading moves.",0.603,0.603,0.334,0.063
rss-d026fcfadbd7c0ea,Energy,negative,negative,Energy,macro risk,stock markets closed lower on Tuesday following the escalation of war between the United States and Iran.,0.544,0.028,0.427,0.544
rss-cb1fd5fdd03889ee,Communication Services,neutral,neutral,Communication Services,macro risk,They require money.,0.823,0.041,0.823,0.136
rss-0d45de291a97a5dd,Communication Services,positive,positive,Communication Services,macro risk,Tesla Shares Rise as Robotaxi Service Expands Into Miami Tesla Shares Rise as Robotaxi Service Expands Into Miami,0.93,0.93,0.038,0.032
rss-870422db349594d9,Real Estate,neutral,neutral,Real Estate,macro risk,"LONDON, July 09, 2026-- This replaces the TIAA-CREF Form 8.3 announcements sent at 3:14 pm and 5:38 pm BST on 08 July 2026.",0.929,0.021,0.929,0.05
rss-998c6270af0e8aea,Healthcare,neutral,neutral,Healthcare,macro risk,"Beyond analysts' top-and-bottom-line estimates for Johnson & Johnson (JNJ), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended June 2026.",0.848,0.137,0.848,0.015
rss-ed103d9e15f3481e,Real Estate,positive,positive,Real Estate,liquidity risk,"WPC raises its quarterly dividend 1.1% to 94 cents, backed by high occupancy, rent growth, investment activity and strong liquidity.",0.7,0.7,0.277,0.023
rss-5b2bf3da1380a8b1,Consumer Staples,positive,positive,Consumer Staples,macro risk,"The Coca-Cola Company (NYSE:KO) is expected to deliver a solid second quarter performance, with analysts at Jefferies and Bank of America highlighting resilient demand, steady volume trends and the company’s ability to navigate ongoing cost and macroeconomic pressures.",0.528,0.528,0.452,0.02
rss-ba22d404beb8e35c,Consumer Discretionary,neutral,neutral,Consumer Discretionary,macro risk,"Mike Khouw gives a trade on Rivian and Tesla, informed by his wife's recent auto purchase.",0.917,0.063,0.917,0.02
rss-708bc057865daed0,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,"Federal regulators are raising serious questions about whether autonomous vehicles can safely interact with first responders, and their concerns could throw a massive wrench into Tesla's most ambitious moneymaking plan yet.",0.928,0.013,0.059,0.928
rss-8ecbfa958b82a934,Technology,neutral,neutral,Technology,macro risk,Apple Tests Chinese Memory Chips as Supply Chain Strategy Shifts Apple Tests Chinese Memory Chips as Supply Chain Strategy Shifts,0.823,0.152,0.823,0.024
rss-4bdd09e65aae3369,Utilities,positive,positive,Utilities,macro risk,"PPL's balanced portfolio and regulated utilities support decarbonization, stable cash flows and long-term earnings growth as electricity demand rises.",0.897,0.897,0.094,0.008
rss-6027c3f0b0f53eec,Unmapped,positive,positive,Unmapped,macro risk,"Advocates say that Trump Accounts for foster children may end up being helpful, as long as concerns about flexibility and accessibility are addressed.",0.683,0.683,0.308,0.009
rss-8ed4b68c3e423669,Financials,negative,negative,Financials,macro risk,Goldman Sachs has revised its yen forecast to 165 per dollar and warned intervention impact will likely be short-lived.,0.947,0.034,0.019,0.947
rss-178a44b399ecff60,Materials,neutral,neutral,Materials,macro risk,It also has history on its side.,0.86,0.119,0.86,0.021
rss-0694c5e33ae2a1c8,Financials,neutral,neutral,Financials,macro risk,"Analysts expect the bank to report quarterly earnings of $2.64 per share, up from $2.04 per share in the year-ago period.",0.682,0.292,0.682,0.026
rss-80651f5a6cc5d981,Consumer Discretionary,positive,positive,Consumer Discretionary,macro risk,Amazon's corporate bonds show that AI tailwinds will continue to accelerate.,0.786,0.786,0.035,0.179
