article_id,source,title,summary,content,url,published_at,collected_at,language,tickers,companies,sector,topic,sentiment_score,p_positive,p_neutral,p_negative,optimism,fear,uncertainty,attention,attention_weight,disagreement,disagreement_input,risk_intensity,risk_category,evidence_sentence,model_confidence,relevance_weight,time_weight,agg_weight,is_duplicate,dedup_factor
demo-04-07,Demo Macro Watch,Procter & Gamble consumer spending update 7 shapes Consumer Staples sentiment,membership trends supported sales visibility. Investors linked the move to consumer spending.,Procter & Gamble and Costco were mentioned in demo coverage of Consumer Staples. membership trends supported sales visibility. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-04-07,2026-06-16T00:00:00+00:00,2026-07-07T00:00:00+00:00,en,COST;PG,Costco;Procter & Gamble,Consumer Staples,earnings risk,0.072,0.343,0.386,0.271,34.3,27.1,62.8,0.0,0.0,0.0,0.072,48.9,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.386,1.000,0.000912,0.000638,True,0.7
demo-04-08,Demo Market Wire,Costco margin pressure update 8 shapes Consumer Staples sentiment,pricing actions faced more consumer resistance. Investors linked the move to margin pressure.,Costco and Walmart were mentioned in demo coverage of Consumer Staples. pricing actions faced more consumer resistance. Analysts said commodity risk should be monitored over the next few weeks.,https://example.com/demo-04-08,2026-06-13T21:00:00+00:00,2026-07-07T00:00:00+00:00,en,COST;WMT,Costco;Walmart,Consumer Staples,pricing power,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,57.1,earnings risk,Investors linked the move to margin pressure.,0.457,1.000,0.000449,0.000449,False,1.0
demo-04-09,Demo Finance Daily,Walmart defensive demand update 9 shapes Consumer Staples sentiment,essential goods demand remained steady. Investors linked the move to defensive demand.,Walmart and Coca-Cola were mentioned in demo coverage of Consumer Staples. essential goods demand remained steady. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-04-09,2026-06-11T18:00:00+00:00,2026-07-07T00:00:00+00:00,en,KO;WMT,Coca-Cola;Walmart,Consumer Staples,defensive demand,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,63.4,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.390,1.000,0.000221,0.000221,False,1.0
demo-04-10,Demo Sector Brief,Coca-Cola pricing power update 10 shapes Consumer Staples sentiment,input cost pressure limited margin expansion. Investors linked the move to pricing power.,Coca-Cola and Procter & Gamble were mentioned in demo coverage of Consumer Staples. input cost pressure limited margin expansion. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-04-10,2026-06-09T15:00:00+00:00,2026-07-07T00:00:00+00:00,en,KO;PG,Coca-Cola;Procter & Gamble,Consumer Staples,margin pressure,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,57.1,commodity risk,input cost pressure limited margin expansion.,0.457,1.000,0.000109,0.000076,True,0.7
demo-04-11,Demo Analyst Note,Procter & Gamble consumer spending update 11 shapes Consumer Staples sentiment,membership trends supported sales visibility. Investors linked the move to consumer spending.,Procter & Gamble and Costco were mentioned in demo coverage of Consumer Staples. membership trends supported sales visibility. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-04-01,2026-06-07T12:00:00+00:00,2026-07-07T00:00:00+00:00,en,COST;PG,Costco;Procter & Gamble,Consumer Staples,earnings risk,0.072,0.343,0.386,0.271,34.3,27.1,62.8,0.0,0.0,0.0,0.072,48.9,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.386,1.000,0.000054,0.000016,True,0.3
demo-04-12,Demo Macro Watch,Walmart defensive demand update 1 reshapes Consumer Staples sentiment,pricing actions faced more consumer resistance. Investors linked the move to margin pressure.,Costco and Walmart were mentioned in demo coverage of Consumer Staples. pricing actions faced more consumer resistance. Analysts said commodity risk should be monitored over the next few weeks.,https://example.com/demo-04-12,2026-07-05T09:00:00+00:00,2026-07-07T00:00:00+00:00,en,COST;WMT,Costco;Walmart,Consumer Staples,pricing power,-0.169,0.229,0.372,0.398,22.9,39.8,61.4,0.0,0.0,0.0,-0.169,54.6,earnings risk,Investors linked the move to margin pressure.,0.398,1.000,0.581778,0.407244,True,0.7
demo-05-01,Demo Macro Watch,JPMorgan credit risk update 1 shapes Financials sentiment,loan loss reserves remained a central investor focus. Investors linked the move to credit risk.,JPMorgan and Bank of America were mentioned in demo coverage of Financials. loan loss reserves remained a central investor focus. Analysts said credit risk should be monitored over the next few weeks.,https://example.com/demo-05-01,2026-06-24T16:00:00+00:00,2026-07-07T00:00:00+00:00,en,BAC;JPM,Bank of America;JPMorgan,Financials,credit risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,92.5,credit risk,loan loss reserves remained a central investor focus.,0.584,1.000,0.016390,0.016390,False,1.0
demo-05-02,Demo Market Wire,Bank of America interest rate uncertainty update 2 shapes Financials sentiment,net interest income expectations stabilized. Investors linked the move to interest rate uncertainty.,Bank of America and Citigroup were mentioned in demo coverage of Financials. net interest income expectations stabilized. Analysts said liquidity risk should be monitored over the next few weeks.,https://example.com/demo-05-02,2026-06-22T13:00:00+00:00,2026-07-07T00:00:00+00:00,en,BAC;C,Bank of America;Citigroup,Financials,interest rate uncertainty,-0.031,0.296,0.376,0.327,29.6,32.7,62.4,0.0,0.0,0.0,-0.031,49.9,interest rate risk,Investors linked the move to interest rate uncertainty.,0.376,1.000,0.008071,0.008071,False,1.0
demo-05-03,Demo Finance Daily,Citigroup earnings risk update 3 shapes Financials sentiment,capital market activity showed early improvement. Investors linked the move to earnings risk.,Citigroup and Goldman Sachs were mentioned in demo coverage of Financials. capital market activity showed early improvement. Analysts said interest rate risk should be monitored over the next few weeks.,https://example.com/demo-05-03,2026-06-20T10:00:00+00:00,2026-07-07T00:00:00+00:00,en,C;GS,Citigroup;Goldman Sachs,Financials,interest rate uncertainty,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,57.1,interest rate risk,Analysts said interest rate risk should be monitored over the next few weeks.,0.457,1.000,0.003975,0.003975,False,1.0
demo-05-04,Demo Sector Brief,Goldman Sachs liquidity risk update 4 shapes Financials sentiment,credit quality concerns persisted in consumer lending. Investors linked the move to liquidity risk.,Goldman Sachs and JPMorgan were mentioned in demo coverage of Financials. credit quality concerns persisted in consumer lending. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-05-04,2026-06-18T07:00:00+00:00,2026-07-07T00:00:00+00:00,en,GS;JPM,Goldman Sachs;JPMorgan,Financials,earnings risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,92.5,credit risk,credit quality concerns persisted in consumer lending.,0.584,1.000,0.001957,0.001957,False,1.0
demo-05-05,Demo Analyst Note,JPMorgan credit risk update 5 shapes Financials sentiment,loan loss reserves remained a central investor focus. Investors linked the move to credit risk.,JPMorgan and Bank of America were mentioned in demo coverage of Financials. loan loss reserves remained a central investor focus. Analysts said credit risk should be monitored over the next few weeks.,https://example.com/demo-05-05,2026-06-16T04:00:00+00:00,2026-07-07T00:00:00+00:00,en,BAC;JPM,Bank of America;JPMorgan,Financials,credit risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,92.5,credit risk,loan loss reserves remained a central investor focus.,0.584,1.000,0.000964,0.000964,False,1.0
demo-05-06,Demo Macro Watch,Bank of America interest rate uncertainty update 6 shapes Financials sentiment,net interest income expectations stabilized. Investors linked the move to interest rate uncertainty.,Bank of America and Citigroup were mentioned in demo coverage of Financials. net interest income expectations stabilized. Analysts said liquidity risk should be monitored over the next few weeks.,https://example.com/demo-05-06,2026-06-14T01:00:00+00:00,2026-07-07T00:00:00+00:00,en,BAC;C,Bank of America;Citigroup,Financials,interest rate uncertainty,-0.031,0.296,0.376,0.327,29.6,32.7,62.4,0.0,0.0,0.0,-0.031,49.9,interest rate risk,Investors linked the move to interest rate uncertainty.,0.376,1.000,0.000475,0.000332,True,0.7
demo-05-07,Demo Market Wire,Citigroup earnings risk update 7 shapes Financials sentiment,capital market activity showed early improvement. Investors linked the move to earnings risk.,Citigroup and Goldman Sachs were mentioned in demo coverage of Financials. capital market activity showed early improvement. Analysts said interest rate risk should be monitored over the next few weeks.,https://example.com/demo-05-07,2026-06-12T22:00:00+00:00,2026-07-07T00:00:00+00:00,en,C;GS,Citigroup;Goldman Sachs,Financials,interest rate uncertainty,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,57.1,interest rate risk,Analysts said interest rate risk should be monitored over the next few weeks.,0.457,1.000,0.000326,0.000326,False,1.0
demo-05-08,Demo Finance Daily,Goldman Sachs liquidity risk update 8 shapes Financials sentiment,credit quality concerns persisted in consumer lending. Investors linked the move to liquidity risk.,Goldman Sachs and JPMorgan were mentioned in demo coverage of Financials. credit quality concerns persisted in consumer lending. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-05-08,2026-06-10T19:00:00+00:00,2026-07-07T00:00:00+00:00,en,GS;JPM,Goldman Sachs;JPMorgan,Financials,earnings risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,92.5,credit risk,credit quality concerns persisted in consumer lending.,0.584,1.000,0.000161,0.000112,True,0.7
demo-05-09,Demo Sector Brief,JPMorgan credit risk update 9 shapes Financials sentiment,loan loss reserves remained a central investor focus. Investors linked the move to credit risk.,JPMorgan and Bank of America were mentioned in demo coverage of Financials. loan loss reserves remained a central investor focus. Analysts said credit risk should be monitored over the next few weeks.,https://example.com/demo-05-09,2026-06-08T16:00:00+00:00,2026-07-07T00:00:00+00:00,en,BAC;JPM,Bank of America;JPMorgan,Financials,credit risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,92.5,credit risk,loan loss reserves remained a central investor focus.,0.584,1.000,0.000079,0.000079,False,1.0
demo-05-10,Demo Analyst Note,Bank of America interest rate uncertainty update 10 shapes Financials sentiment,net interest income expectations stabilized. Investors linked the move to interest rate uncertainty.,Bank of America and Citigroup were mentioned in demo coverage of Financials. net interest income expectations stabilized. Analysts said liquidity risk should be monitored over the next few weeks.,https://example.com/demo-05-10,2026-07-06T13:00:00+00:00,2026-07-07T00:00:00+00:00,en,BAC;C,Bank of America;Citigroup,Financials,interest rate uncertainty,-0.031,0.296,0.376,0.327,29.6,32.7,62.4,0.0,0.0,0.0,-0.031,49.9,interest rate risk,Investors linked the move to interest rate uncertainty.,0.376,1.000,0.858320,0.600824,True,0.7
demo-05-11,Demo Macro Watch,Citigroup earnings risk update 11 shapes Financials sentiment,capital market activity showed early improvement. Investors linked the move to earnings risk.,Citigroup and Goldman Sachs were mentioned in demo coverage of Financials. capital market activity showed early improvement. Analysts said interest rate risk should be monitored over the next few weeks.,https://example.com/demo-05-01,2026-07-04T10:00:00+00:00,2026-07-07T00:00:00+00:00,en,C;GS,Citigroup;Goldman Sachs,Financials,interest rate uncertainty,-0.251,0.207,0.336,0.457,20.7,45.7,58.4,0.0,0.0,0.0,-0.251,57.1,interest rate risk,Analysts said interest rate risk should be monitored over the next few weeks.,0.457,1.000,0.422692,0.126808,True,0.3
demo-05-12,Demo Market Wire,JPMorgan credit risk update 1 reshapes Financials sentiment,credit quality concerns persisted in consumer lending. Investors linked the move to liquidity risk.,Goldman Sachs and JPMorgan were mentioned in demo coverage of Financials. credit quality concerns persisted in consumer lending. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-05-12,2026-07-02T07:00:00+00:00,2026-07-07T00:00:00+00:00,en,GS;JPM,Goldman Sachs;JPMorgan,Financials,credit risk,-0.427,0.157,0.259,0.584,15.7,58.4,50.3,0.0,0.0,0.0,-0.427,92.5,credit risk,credit quality concerns persisted in consumer lending.,0.584,1.000,0.208161,0.145713,True,0.7
demo-06-01,Demo Market Wire,Pfizer healthcare regulation update 1 shapes Healthcare sentiment,pipeline updates improved confidence in future revenue. Investors linked the move to healthcare regulation.,Pfizer and Johnson & Johnson were mentioned in demo coverage of Healthcare. pipeline updates improved confidence in future revenue. Analysts said regulatory risk should be monitored over the next few weeks.,https://example.com/demo-06-01,2026-06-21T14:00:00+00:00,2026-07-07T00:00:00+00:00,en,JNJ;PFE,Johnson & Johnson;Pfizer,Healthcare,drug pipeline,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,62.4,regulatory risk,Investors linked the move to healthcare regulation.,0.554,1.000,0.005864,0.005864,False,1.0
demo-06-02,Demo Finance Daily,Johnson & Johnson drug pipeline update 2 shapes Healthcare sentiment,drug pricing rules created uncertainty for margins. Investors linked the move to drug pipeline.,Johnson & Johnson and Merck were mentioned in demo coverage of Healthcare. drug pricing rules created uncertainty for margins. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-06-02,2026-06-19T11:00:00+00:00,2026-07-07T00:00:00+00:00,en,JNJ;MRK,Johnson & Johnson;Merck,Healthcare,earnings risk,-0.188,0.187,0.437,0.376,18.7,37.6,64.2,0.0,0.0,0.0,-0.188,71.0,regulatory risk,drug pricing rules created uncertainty for margins.,0.437,1.000,0.002888,0.002888,False,1.0
demo-06-03,Demo Sector Brief,Merck earnings risk update 3 shapes Healthcare sentiment,managed care utilization trends were mixed. Investors linked the move to earnings risk.,Merck and UnitedHealth were mentioned in demo coverage of Healthcare. managed care utilization trends were mixed. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-06-03,2026-06-17T08:00:00+00:00,2026-07-07T00:00:00+00:00,en,MRK;UNH,Merck;UnitedHealth,Healthcare,earnings risk,-0.223,0.193,0.391,0.416,19.3,41.6,61.7,0.0,0.0,0.0,-0.223,56.7,earnings risk,Investors linked the move to earnings risk.,0.416,1.000,0.001422,0.001422,False,1.0
demo-06-04,Demo Analyst Note,UnitedHealth policy uncertainty update 4 shapes Healthcare sentiment,clinical trial progress supported sentiment. Investors linked the move to policy uncertainty.,UnitedHealth and Pfizer were mentioned in demo coverage of Healthcare. clinical trial progress supported sentiment. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-06-04,2026-06-15T05:00:00+00:00,2026-07-07T00:00:00+00:00,en,PFE;UNH,Pfizer;UnitedHealth,Healthcare,drug pipeline,0.197,0.453,0.290,0.257,45.3,25.7,56.2,0.0,0.0,0.0,0.197,62.9,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.453,1.000,0.000700,0.000700,False,1.0
demo-06-05,Demo Macro Watch,Pfizer healthcare regulation update 5 shapes Healthcare sentiment,pipeline updates improved confidence in future revenue. Investors linked the move to healthcare regulation.,Pfizer and Johnson & Johnson were mentioned in demo coverage of Healthcare. pipeline updates improved confidence in future revenue. Analysts said regulatory risk should be monitored over the next few weeks.,https://example.com/demo-06-05,2026-06-13T02:00:00+00:00,2026-07-07T00:00:00+00:00,en,JNJ;PFE,Johnson & Johnson;Pfizer,Healthcare,drug pipeline,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,62.4,regulatory risk,Investors linked the move to healthcare regulation.,0.554,1.000,0.000345,0.000345,False,1.0
demo-06-06,Demo Market Wire,Johnson & Johnson drug pipeline update 6 shapes Healthcare sentiment,drug pricing rules created uncertainty for margins. Investors linked the move to drug pipeline.,Johnson & Johnson and Merck were mentioned in demo coverage of Healthcare. drug pricing rules created uncertainty for margins. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-06-06,2026-06-11T23:00:00+00:00,2026-07-07T00:00:00+00:00,en,JNJ;MRK,Johnson & Johnson;Merck,Healthcare,earnings risk,-0.188,0.187,0.437,0.376,18.7,37.6,64.2,0.0,0.0,0.0,-0.188,71.0,regulatory risk,drug pricing rules created uncertainty for margins.,0.437,1.000,0.000237,0.000166,True,0.7
demo-06-07,Demo Finance Daily,Merck earnings risk update 7 shapes Healthcare sentiment,managed care utilization trends were mixed. Investors linked the move to earnings risk.,Merck and UnitedHealth were mentioned in demo coverage of Healthcare. managed care utilization trends were mixed. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-06-07,2026-06-09T20:00:00+00:00,2026-07-07T00:00:00+00:00,en,MRK;UNH,Merck;UnitedHealth,Healthcare,earnings risk,-0.223,0.193,0.391,0.416,19.3,41.6,61.7,0.0,0.0,0.0,-0.223,56.7,earnings risk,Investors linked the move to earnings risk.,0.416,1.000,0.000117,0.000117,False,1.0
demo-06-08,Demo Sector Brief,UnitedHealth policy uncertainty update 8 shapes Healthcare sentiment,clinical trial progress supported sentiment. Investors linked the move to policy uncertainty.,UnitedHealth and Pfizer were mentioned in demo coverage of Healthcare. clinical trial progress supported sentiment. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-06-08,2026-06-07T17:00:00+00:00,2026-07-07T00:00:00+00:00,en,PFE;UNH,Pfizer;UnitedHealth,Healthcare,drug pipeline,0.197,0.453,0.290,0.257,45.3,25.7,56.2,0.0,0.0,0.0,0.197,62.9,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.453,1.000,0.000057,0.000057,False,1.0
demo-06-09,Demo Analyst Note,Pfizer healthcare regulation update 9 shapes Healthcare sentiment,pipeline updates improved confidence in future revenue. Investors linked the move to healthcare regulation.,Pfizer and Johnson & Johnson were mentioned in demo coverage of Healthcare. pipeline updates improved confidence in future revenue. Analysts said regulatory risk should be monitored over the next few weeks.,https://example.com/demo-06-09,2026-07-05T14:00:00+00:00,2026-07-07T00:00:00+00:00,en,JNJ;PFE,Johnson & Johnson;Pfizer,Healthcare,drug pipeline,0.350,0.554,0.243,0.203,55.4,20.3,50.8,0.0,0.0,0.0,0.350,62.4,regulatory risk,Investors linked the move to healthcare regulation.,0.554,1.000,0.623615,0.623615,False,1.0
demo-06-10,Demo Macro Watch,Johnson & Johnson drug pipeline update 10 shapes Healthcare sentiment,drug pricing rules created uncertainty for margins. Investors linked the move to drug pipeline.,Johnson & Johnson and Merck were mentioned in demo coverage of Healthcare. drug pricing rules created uncertainty for margins. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-06-10,2026-07-03T11:00:00+00:00,2026-07-07T00:00:00+00:00,en,JNJ;MRK,Johnson & Johnson;Merck,Healthcare,earnings risk,-0.188,0.187,0.437,0.376,18.7,37.6,64.2,0.0,0.0,0.0,-0.188,71.0,regulatory risk,drug pricing rules created uncertainty for margins.,0.437,1.000,0.307108,0.214976,True,0.7
demo-06-11,Demo Market Wire,Merck earnings risk update 11 shapes Healthcare sentiment,managed care utilization trends were mixed. Investors linked the move to earnings risk.,Merck and UnitedHealth were mentioned in demo coverage of Healthcare. managed care utilization trends were mixed. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-06-01,2026-07-01T08:00:00+00:00,2026-07-07T00:00:00+00:00,en,MRK;UNH,Merck;UnitedHealth,Healthcare,earnings risk,-0.223,0.193,0.391,0.416,19.3,41.6,61.7,0.0,0.0,0.0,-0.223,56.7,earnings risk,Investors linked the move to earnings risk.,0.416,1.000,0.151240,0.045372,True,0.3
demo-06-12,Demo Finance Daily,Pfizer healthcare regulation update 1 reshapes Healthcare sentiment,clinical trial progress supported sentiment. Investors linked the move to policy uncertainty.,UnitedHealth and Pfizer were mentioned in demo coverage of Healthcare. clinical trial progress supported sentiment. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-06-12,2026-06-29T05:00:00+00:00,2026-07-07T00:00:00+00:00,en,PFE;UNH,Pfizer;UnitedHealth,Healthcare,healthcare regulation,0.299,0.522,0.255,0.223,52.2,22.3,52.6,0.0,0.0,0.0,0.299,62.6,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.522,1.000,0.074480,0.052136,True,0.7
demo-07-01,Demo Finance Daily,Boeing supply chain update 1 shapes Industrials sentiment,order backlogs remained healthy across machinery names. Investors linked the move to supply chain.,Boeing and Caterpillar were mentioned in demo coverage of Industrials. order backlogs remained healthy across machinery names. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-07-01,2026-06-18T12:00:00+00:00,2026-07-07T00:00:00+00:00,en,BA;CAT,Boeing;Caterpillar,Industrials,supply chain,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,48.4,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.390,1.000,0.002098,0.002098,False,1.0
demo-07-02,Demo Sector Brief,Caterpillar earnings risk update 2 shapes Industrials sentiment,delivery delays continued to pressure execution. Investors linked the move to earnings risk.,Caterpillar and GE were mentioned in demo coverage of Industrials. delivery delays continued to pressure execution. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-07-02,2026-06-16T09:00:00+00:00,2026-07-07T00:00:00+00:00,en,CAT;GE,Caterpillar;GE,Industrials,earnings risk,-0.572,0.116,0.195,0.688,11.6,68.8,41.8,0.0,0.0,0.0,-0.572,67.0,earnings risk,delivery delays continued to pressure execution.,0.688,1.000,0.001033,0.001033,False,1.0
demo-07-03,Demo Analyst Note,GE capital spending update 3 shapes Industrials sentiment,infrastructure demand supported medium-term guidance. Investors linked the move to capital spending.,GE and 3M were mentioned in demo coverage of Industrials. infrastructure demand supported medium-term guidance. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-07-03,2026-06-14T06:00:00+00:00,2026-07-07T00:00:00+00:00,en,GE;MMM,3M;GE,Industrials,infrastructure demand,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,63.4,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.390,1.000,0.000509,0.000509,False,1.0
demo-07-04,Demo Macro Watch,3M infrastructure demand update 4 shapes Industrials sentiment,export uncertainty weighed on industrial sentiment. Investors linked the move to infrastructure demand.,3M and Boeing were mentioned in demo coverage of Industrials. export uncertainty weighed on industrial sentiment. Analysts said geopolitical risk should be monitored over the next few weeks.,https://example.com/demo-07-04,2026-06-12T03:00:00+00:00,2026-07-07T00:00:00+00:00,en,BA;MMM,3M;Boeing,Industrials,infrastructure demand,-0.377,0.148,0.327,0.525,14.8,52.5,55.6,0.0,0.0,0.0,-0.377,76.5,geopolitical risk,export uncertainty weighed on industrial sentiment.,0.525,1.000,0.000251,0.000251,False,1.0
demo-07-05,Demo Market Wire,Boeing supply chain update 5 shapes Industrials sentiment,order backlogs remained healthy across machinery names. Investors linked the move to supply chain.,Boeing and Caterpillar were mentioned in demo coverage of Industrials. order backlogs remained healthy across machinery names. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-07-05,2026-06-11T00:00:00+00:00,2026-07-07T00:00:00+00:00,en,BA;CAT,Boeing;Caterpillar,Industrials,supply chain,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,48.4,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.390,1.000,0.000172,0.000172,False,1.0
demo-07-06,Demo Finance Daily,Caterpillar earnings risk update 6 shapes Industrials sentiment,delivery delays continued to pressure execution. Investors linked the move to earnings risk.,Caterpillar and GE were mentioned in demo coverage of Industrials. delivery delays continued to pressure execution. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-07-06,2026-06-08T21:00:00+00:00,2026-07-07T00:00:00+00:00,en,CAT;GE,Caterpillar;GE,Industrials,earnings risk,-0.572,0.116,0.195,0.688,11.6,68.8,41.8,0.0,0.0,0.0,-0.572,67.0,earnings risk,delivery delays continued to pressure execution.,0.688,1.000,0.000085,0.000085,False,1.0
demo-07-07,Demo Sector Brief,GE capital spending update 7 shapes Industrials sentiment,infrastructure demand supported medium-term guidance. Investors linked the move to capital spending.,GE and 3M were mentioned in demo coverage of Industrials. infrastructure demand supported medium-term guidance. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-07-07,2026-07-06T18:00:00+00:00,2026-07-07T00:00:00+00:00,en,GE;MMM,3M;GE,Industrials,infrastructure demand,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,63.4,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.390,1.000,0.920044,0.920044,False,1.0
demo-07-08,Demo Analyst Note,3M infrastructure demand update 8 shapes Industrials sentiment,export uncertainty weighed on industrial sentiment. Investors linked the move to infrastructure demand.,3M and Boeing were mentioned in demo coverage of Industrials. export uncertainty weighed on industrial sentiment. Analysts said geopolitical risk should be monitored over the next few weeks.,https://example.com/demo-07-08,2026-07-04T15:00:00+00:00,2026-07-07T00:00:00+00:00,en,BA;MMM,3M;Boeing,Industrials,infrastructure demand,-0.377,0.148,0.327,0.525,14.8,52.5,55.6,0.0,0.0,0.0,-0.377,76.5,geopolitical risk,export uncertainty weighed on industrial sentiment.,0.525,1.000,0.453089,0.453089,False,1.0
demo-07-09,Demo Macro Watch,Boeing supply chain update 9 shapes Industrials sentiment,order backlogs remained healthy across machinery names. Investors linked the move to supply chain.,Boeing and Caterpillar were mentioned in demo coverage of Industrials. order backlogs remained healthy across machinery names. Analysts said earnings risk should be monitored over the next few weeks.,https://example.com/demo-07-09,2026-07-02T12:00:00+00:00,2026-07-07T00:00:00+00:00,en,BA;CAT,Boeing;Caterpillar,Industrials,supply chain,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,48.4,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.390,1.000,0.223130,0.223130,False,1.0
demo-07-10,Demo Market Wire,Caterpillar earnings risk update 10 shapes Industrials sentiment,delivery delays continued to pressure execution. Investors linked the move to earnings risk.,Caterpillar and GE were mentioned in demo coverage of Industrials. delivery delays continued to pressure execution. Analysts said demand risk should be monitored over the next few weeks.,https://example.com/demo-07-10,2026-06-30T09:00:00+00:00,2026-07-07T00:00:00+00:00,en,CAT;GE,Caterpillar;GE,Industrials,earnings risk,-0.572,0.116,0.195,0.688,11.6,68.8,41.8,0.0,0.0,0.0,-0.572,67.0,earnings risk,delivery delays continued to pressure execution.,0.688,1.000,0.109884,0.109884,False,1.0
demo-07-11,Demo Finance Daily,GE capital spending update 11 shapes Industrials sentiment,infrastructure demand supported medium-term guidance. Investors linked the move to capital spending.,GE and 3M were mentioned in demo coverage of Industrials. infrastructure demand supported medium-term guidance. Analysts said macro risk should be monitored over the next few weeks.,https://example.com/demo-07-01,2026-06-28T06:00:00+00:00,2026-07-07T00:00:00+00:00,en,GE;MMM,3M;GE,Industrials,infrastructure demand,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,63.4,macro risk,Analysts said macro risk should be monitored over the next few weeks.,0.390,1.000,0.054114,0.016234,True,0.3
demo-07-12,Demo Sector Brief,Boeing supply chain update 1 reshapes Industrials sentiment,export uncertainty weighed on industrial sentiment. Investors linked the move to infrastructure demand.,3M and Boeing were mentioned in demo coverage of Industrials. export uncertainty weighed on industrial sentiment. Analysts said geopolitical risk should be monitored over the next few weeks.,https://example.com/demo-07-12,2026-06-26T03:00:00+00:00,2026-07-07T00:00:00+00:00,en,BA;MMM,3M;Boeing,Industrials,supply chain,-0.377,0.148,0.327,0.525,14.8,52.5,55.6,0.0,0.0,0.0,-0.377,76.5,geopolitical risk,export uncertainty weighed on industrial sentiment.,0.525,1.000,0.026649,0.018654,True,0.7
demo-08-01,Demo Sector Brief,ExxonMobil oil price movement update 1 shapes Energy sentiment,higher crude prices improved cash flow expectations. Investors linked the move to oil price movement.,ExxonMobil and Chevron were mentioned in demo coverage of Energy. higher crude prices improved cash flow expectations. Analysts said commodity risk should be monitored over the next few weeks.,https://example.com/demo-08-01,2026-06-15T10:00:00+00:00,2026-07-07T00:00:00+00:00,en,CVX;XOM,Chevron;ExxonMobil,Energy,oil price movement,0.116,0.390,0.336,0.274,39.0,27.4,59.8,0.0,0.0,0.0,0.116,48.4,commodity risk,higher crude prices improved cash flow expectations.,0.390,1.000,0.000751,0.000751,False,1.0
